episode,side,start_s,end_s,air_s,peak_mm,supported_fraction,next_ground_s
10,left,9.02,9.16,0.14,2.2395334134119,1.0,0.02
10,left,9.18,9.2,0.02,-0.08697921178716815,1.0,0.08
10,left,9.28,9.3,0.02,0.0017037681897960968,1.0,1.08
10,left,10.38,10.4,0.02,-0.1440446385449,1.0,0.06
10,left,10.46,10.48,0.02,-0.08713085551726243,1.0,0.02
10,left,10.5,10.54,0.04,0.1496611579122,1.0,0.06
10,left,10.6,10.8,0.2,3.3351180239124,1.0,0.08
10,left,10.88,11.0,0.12,2.1428163937259,1.0,1.02
10,right,1.58,1.6,0.02,0.019240859583783507,1.0,0.06
10,right,1.66,1.68,0.02,0.023278172905368683,1.0,0.02
10,right,1.7,1.72,0.02,0.1956211586461,1.0,0.16
10,right,1.88,2.0,0.12,2.1046500086481,1.0,0.14
10,right,2.14,2.18,0.04,1.2245359390164,1.0,1.16
